Easting[m],Northing[m],Vp[km/s],ElevationReference[m],ElevationLidar[m]1,x[m],y[m],z[m],Vs[km/s],Vp/Vs
333675.507,4262940.918,3.526,491.660,1616.661,875.000,2250.000,1125.000,2.095,1.683
337550.507,4264690.918,5.820,508.450,1758.451,4750.000,4000.000,1250.000,3.409,1.707
337550.507,4263315.918,5.820,508.480,1758.475,4750.000,2625.000,1250.000,3.409,1.707
337300.507,4264940.918,5.820,491.510,1741.511,4500.000,4250.000,1250.000,3.409,1.707
337800.507,4265565.918,5.820,508.510,1758.514,5000.000,4875.000,1250.000,3.409,1.707
333925.507,4263690.918,3.383,491.460,1616.464,1125.000,3000.000,1125.000,2.010,1.683
334425.507,4264065.918,3.494,508.550,1633.550,1625.000,3375.000,1125.000,2.076,1.683
333175.507,4261690.918,3.301,491.430,1616.428,375.000,1000.000,1125.000,1.961,1.683
333425.507,4262190.918,3.391,491.390,1616.391,625.000,1500.000,1125.000,2.015,1.683
333800.507,4261815.918,4.138,508.620,1633.623,1000.000,1125.000,1125.000,2.459,1.683
332925.507,4261065.918,3.301,491.350,1616.353,125.000,375.000,1125.000,1.961,1.683
337300.507,4264315.918,5.820,508.690,1758.689,4500.000,3625.000,1250.000,3.409,1.707
336675.507,4263940.918,5.820,491.230,1741.225,3875.000,3250.000,1250.000,3.409,1.707
334175.507,4264440.918,3.440,491.210,1616.210,1375.000,3750.000,1125.000,2.044,1.683
333800.507,4261940.918,3.979,508.830,1633.832,1000.000,1250.000,1125.000,2.364,1.683
337425.507,4263190.918,5.820,508.840,1758.843,4625.000,2500.000,1250.000,3.409,1.707
337175.507,4264190.918,5.820,508.870,1758.873,4375.000,3500.000,1250.000,3.409,1.707
336425.507,4261065.918,5.820,508.960,1758.961,3625.000,375.000,1250.000,3.409,1.707
336050.507,4261190.918,5.820,491.020,1741.025,3250.000,500.000,1250.000,3.409,1.707
334800.507,4264815.918,3.426,509.050,1634.048,2000.000,4125.000,1125.000,2.036,1.683
333050.507,4261440.918,3.301,490.940,1615.942,250.000,750.000,1125.000,1.961,1.683
334300.507,4264690.918,3.403,490.930,1615.931,1500.000,4000.000,1125.000,2.022,1.683
336050.507,4260690.918,5.820,490.930,1740.928,3250.000,0.000,1250.000,3.409,1.707
337300.507,4265065.918,5.820,490.930,1740.926,4500.000,4375.000,1250.000,3.409,1.707
334550.507,4264190.918,3.399,509.170,1634.169,1750.000,3500.000,1125.000,2.020,1.683
334300.507,4263440.918,3.411,509.190,1634.194,1500.000,2750.000,1125.000,2.027,1.683
334925.507,4265065.918,3.403,509.200,1634.197,2125.000,4375.000,1125.000,2.022,1.683
334050.507,4262690.918,3.439,509.240,1634.236,1250.000,2000.000,1125.000,2.043,1.683
336550.507,4261940.918,5.820,509.240,1759.241,3750.000,1250.000,1250.000,3.409,1.707
334675.507,4265565.918,3.363,490.670,1615.667,1875.000,4875.000,1125.000,1.998,1.683
332800.507,4260815.918,3.301,490.650,1615.651,0.000,125.000,1125.000,1.961,1.683
334175.507,4262940.918,3.481,509.350,1634.350,1375.000,2250.000,1125.000,2.068,1.683
335050.507,4265315.918,3.612,509.360,1634.365,2250.000,4625.000,1125.000,2.146,1.683
332925.507,4261190.918,3.301,490.620,1615.621,125.000,500.000,1125.000,1.961,1.683
334550.507,4265190.918,3.357,490.610,1615.608,1750.000,4500.000,1125.000,1.995,1.683
