Northing_m,Easting_m,Elevation_m,Resistivity_ohmm
4252537.0,323311.4,561.9362,39.78
4252537.0,334112.6,538.9883,499.35
4252540.0,346575.3,620.1354,363.29
4252541.0,340146.9,390.7942,5727.18
4252543.0,334097.5,539.9231,500.14
4252544.0,337299.7,463.8219,8167.37
4252547.0,332294.4,459.8775,73.28
4252551.0,334075.4,540.1417,500.87
4252553.0,328324.3,558.4062,9.04
4252562.0,334044.0,538.7394,501.04
4252563.0,330373.5,404.8321,9.03
4252567.0,342477.9,497.0893,1224.05
4252568.0,335705.2,619.2256,303.7
4252578.0,334000.2,537.1848,499.51
4252600.0,333939.7,535.1426,493.92
4252603.0,343421.3,362.1615,2854.91
4252609.0,325744.7,528.8363,16.37
4252625.0,344354.0,328.6717,2998.09
4252626.0,332078.3,452.7611,46.17
4252626.0,335545.5,608.9375,258.48
4252631.0,333856.0,530.9981,479.57
4252634.0,328102.8,554.5656,5.4
4252638.0,337041.3,442.7832,4966.77
4252641.0,330157.4,600.5899,10.16
4252645.0,341120.8,555.7161,2076.99
4252653.0,345270.8,510.7396,1756.01
4252673.0,333739.8,523.8805,447.8
4252674.0,338399.1,576.438,10555.19
4252684.0,335385.8,599.6222,232.96
4252685.0,346176.0,389.9493,663.54
4252687.0,339747.5,365.8838,5829.58
4252702.0,347076.1,589.3047,299.24
4252705.0,331862.1,446.4098,27.28
4252712.0,342078.5,511.1896,1060.12
4252720.0,327864.5,549.7587,3.02
4252720.0,329941.2,595.5142,13.43
4252726.0,336798.4,424.625,2804.06
4252727.0,333591.2,514.8873,391.37
4252742.0,325377.3,530.3429,26.6
4252742.0,335226.0,589.954,222.28
4252748.0,343022.0,639.104,2117.89
4252770.0,343954.6,378.3133,3493.22
4252783.0,331646.0,440.0948,16.2
4252790.0,340721.4,400.8342,3385.76
4252791.0,333416.2,506.2155,315.42
4252798.0,344871.4,552.0256,1959.22
4252799.0,329725.1,589.6471,16.59
4252799.0,338055.6,512.0619,11512.59
4252800.0,335066.3,580.6278,223.63
4252806.0,336578.8,409.8549,1613.33
4252815.0,327604.6,545.2862,1.81
4252830.0,345776.6,434.4163,1116.83
4252832.0,339348.2,619.6169,3974.08
4252847.0,346676.7,617.2766,248.87
4252854.0,334916.9,571.7897,234.12
4252858.0,341679.1,549.8858,1187.62
4252862.0,331429.9,433.9461,11.07
4252864.0,333214.1,497.3279,232.61
4252876.0,325009.9,535.9592,36.91
4252876.0,336386.7,397.8533,1051.61
4252877.0,329509.0,582.1249,18.32
4252893.0,342622.6,558.6926,1523.27
4252902.0,334787.5,564.2763,249.1
4252913.0,337741.7,473.3797,11201.17
4252916.0,343555.2,403.9928,3262.36
4252919.0,327318.2,542.3613,1.37
4252936.0,340322.0,623.2362,4626.0
4252940.0,336210.6,387.3834,772.58
4252941.0,331213.8,429.7615,9.89
4252942.0,334677.7,557.7258,265.54
4252943.0,332997.9,486.5835,161.26
4252944.0,344472.1,623.8847,2317.51
4252956.0,329292.9,576.9439,17.31
4252973.0,334591.8,549.6586,280.05
4252976.0,345377.2,472.2774,1715.91
4252977.0,338950.4,602.5514,5727.49
4252981.0,347168.3,586.5384,304.95
4252992.0,346277.4,357.5582,434.37
4252995.0,334529.9,543.5504,291.04
4253000.0,336046.8,380.0948,603.52
4253003.0,341279.7,477.2181,1711.49
4253012.0,334485.2,540.5937,299.07
4253014.0,324632.2,542.5585,42.79
4253017.0,337456.1,439.9842,8676.82
4253019.0,330997.6,423.915,11.23
4253022.0,332781.8,476.331,109.09
4253023.0,334452.8,539.3148,304.85
4253032.0,334429.7,538.7172,308.95
4253035.0,327000.5,538.1197,1.5
4253035.0,329076.7,572.7034,13.89
4253038.0,334413.3,538.5235,311.82
4253039.0,342223.2,484.4892,1154.9
4253042.0,334400.5,538.3867,314.03
4253047.0,334388.6,538.4894,316.07
4253051.0,334376.9,538.9119,318.06
4253055.0,334365.2,539.2401,320.02
4253058.0,335887.1,614.8582,287.58
4253060.0,334353.4,539.7267,321.96
4253061.0,343155.9,340.9335,2344.87
4253065.0,334338.3,540.488,324.4
4253073.0,334316.2,540.782,327.87
4253081.0,339922.7,612.9021,3182.92
4253085.0,334284.9,539.6044,332.51
4253089.0,344072.7,366.5807,3822.53
4253098.0,330781.5,418.0627,13.82
4253100.0,332565.7,468.7965,72.04
4253100.0,334241.1,537.2174,338.34
4253111.0,337197.8,414.2805,5373.29
4253113.0,328860.6,566.5925,10.01
4253114.0,338572.6,564.9718,6678.7
4253116.0,335727.3,605.489,251.61
4253121.0,344977.9,519.2223,2337.97
4253122.0,334180.6,533.4441,344.87
4253126.0,346768.9,610.7149,181.21
4253138.0,345878.0,408.6707,794.41
4253149.0,340880.4,368.8977,2846.81
4253153.0,334096.8,528.108,350.23
4253157.0,324237.2,550.5292,40.96
4253162.0,326650.9,533.4149,2.28
4253174.0,335567.6,596.2725,234.09
4253177.0,330565.4,413.2107,16.27
4253179.0,332349.6,461.9225,46.32
4253184.0,341823.9,434.3078,1082.15
4253194.0,328639.1,562.8591,7.0
4253195.0,333980.7,520.6711,349.31
4253199.0,336954.9,397.8099,2899.09
4253206.0,342756.5,586.8964,1736.88
4253226.0,339523.3,578.764,2419.66
4253232.0,335407.8,587.7151,228.56
4253235.0,343673.3,406.692,3643.7
4253235.0,347251.9,582.6819,374.57
4253239.0,338229.1,504.8815,7566.44
4253249.0,333832.1,512.0002,331.66
4253255.0,330349.2,406.7479,17.47
4253258.0,332133.4,454.3414,29.61
