easting,northing,gCBGA
327404,4238720,-199.26000000000
329096,4238684,-194.36100000000
336298,4238535,-195.76300000000
312854,4239062,-193.78800000000
320115,4238897,-201.80000000000
327434,4238738,-199.81500000000
320932,4238898,-202.95200000000
322550,4238862,-202.99300000000
323250,4238847,-202.31700000000
324198,4238826,-202.07400000000
324198,4238826,-201.79400000000
300710,4239389,-194.68400000000
324199,4238844,-202.08800000000
308336,4239242,-197.45100000000
356462,4238263,-232.08900000000
345733,4238479,-225.30500000000
316108,4239117,-195.25700000000
353650,4238369,-242.09200000000
341725,4238612,-208.71700000000
354482,4238372,-241.10200000000
355313,4238357,-238.12300000000
311839,4239307,-192.24400000000
347616,4238554,-235.55400000000
356480,4238392,-232.23100000000
311824,4239326,-192.88800000000
337032,4238779,-198.33300000000
311825,4239345,-192.90300000000
345490,4238687,-224.41700000000
350085,4238749,-239.78500000000
301348,4239836,-191.46200000000
335886,4239062,-195.75400000000
345230,4238877,-222.46500000000
330536,4239246,-189.68400000000
354489,4238798,-241.00700000000
355306,4238783,-238.06100000000
305959,4239854,-197.68900000000
334665,4239234,-195.19600000000
336676,4239193,-196.44700000000
357465,4238838,-231.11500000000
308599,4239865,-197.85000000000
344986,4239085,-221.56000000000
325818,4239586,-200.81700000000
325017,4239622,-201.83300000000
325818,4239605,-201.41200000000
342846,4239256,-212.32100000000
322568,4239694,-202.97200000000
324216,4239658,-201.82500000000
344699,4239276,-220.05400000000
344742,4239275,-220.46400000000
309960,4240036,-191.56200000000
322540,4239750,-203.18700000000
322540,4239750,-203.22700000000
354496,4239149,-240.79100000000
355312,4239135,-238.28800000000
301053,4240306,-193.13100000000
306666,4240170,-198.36500000000
327935,4239689,-197.57700000000
349583,4239258,-238.37700000000
355852,4239144,-236.40300000000
307483,4240169,-199.01200000000
344583,4239389,-219.52700000000
332193,4239655,-192.79200000000
344426,4239522,-218.76400000000
333917,4239749,-192.08200000000
319340,4240117,-198.83600000000
319340,4240136,-198.35000000000
335215,4239797,-195.48800000000
344268,4239654,-217.82400000000
348889,4239567,-235.26200000000
319342,4240191,-198.73400000000
319356,4240191,-198.70400000000
298439,4240741,-190.06600000000
344110,4239750,-217.53000000000
352216,4239635,-243.18300000000
338003,4239944,-198.52100000000
343937,4239883,-216.56200000000
356662,4239666,-234.62800000000
302904,4240816,-190.69300000000
329129,4240237,-192.90400000000
330790,4240203,-189.03900000000
338021,4240073,-199.40100000000
301303,4240947,-192.14900000000
312892,4240671,-192.48000000000
315063,4240621,-192.13600000000
320079,4240526,-199.57900000000
320151,4240525,-199.17900000000
320953,4240507,-201.03700000000
320982,4240506,-200.74700000000
322556,4240472,-202.85700000000
324233,4240435,-202.04800000000
336710,4240173,-198.00600000000
