longitude,latitude,height_sea_level_m,height_geometric_m,gravity_mgal,gravity_disturbance_mgal,gravity_bouguer_mgal
26.83167,-26.82167,1319.8,1348.3040597983254,978685.68,17.101685590692796,-131.6862146086409
26.86667,-26.27167,1487.1,1514.1473256968545,978606.3,28.586334798368625,-139.59929999045065
26.89999,-26.37334,1457.8,1485.039255242498,978613.0,19.01103020645678,-146.40241860917445
26.90167,-26.32333,1502.7,1529.8256450680797,978603.1,26.517850439762697,-143.83274412555625
26.90167,-26.20833,1506.3,1533.2191259922947,978595.01,27.714904148946516,-142.8227974757442
26.92332,-26.79167,1339.3,1367.8517465966802,978688.88,28.512483105878346,-121.97974395983496
26.92999,-26.42833,1467.9,1495.2980686285023,978615.6,20.821113960584626,-143.88376853175595
26.935,-26.14999,1522.8,1549.578602441815,978585.51,27.431889957166277,-145.21685091292227
26.96667,-26.07832,1556.6,1583.177830787084,978578.81,36.21063833090011,-139.9015890785465
26.96667,-26.29167,1535.0,1562.0449901769261,978589.11,24.73764436505735,-149.08507354641793
26.98666,-26.75999,1389.0,1417.5932449048832,978681.38,38.657903894316405,-119.36668282046426
26.98666,-26.48,1477.7,1505.2948204719144,978621.0,25.583821259671822,-142.20631001130064
27.02499,-26.01167,1627.9,1654.2181451328354,978554.32,38.38106206897646,-144.87752533452405
27.05,-26.49667,1461.2,1488.884661212795,978633.1,31.420112134423107,-134.16318485073546
27.08167,-26.82832,1335.3,1364.315483267018,978704.57,40.447538484004326,-110.98514956880132
27.08667,-26.71001,1343.8,1372.4291167238155,978691.18,38.151226051617414,-114.14198465454322
27.09167,-26.28168,1520.6,1547.5786426109678,978580.51,12.391471031703986,-159.64892152730152
27.10834,-26.62334,1383.8,1412.0860935002233,978670.28,35.761492925696075,-120.92356966441375
27.12666,-26.57001,1403.0,1431.0391013129422,978659.59,34.77324158477131,-124.15417868896807
27.13167,-26.34666,1456.9,1484.052045466855,978618.5,26.123060610494576,-139.2337486000902
27.13333,-26.53999,1396.6,1424.5034287795575,978658.59,33.92474424664397,-123.7948338336368
27.14333,-26.50833,1416.7,1444.4653862467612,978649.29,33.06690870504826,-125.31344013227755
27.14667,-26.28168,1467.0,1493.953868333605,978599.9,15.239682315383106,-151.25887792098817
27.15668,-26.25,1455.7,1482.5634395161771,978594.11,8.205995753407478,-155.9926325420538
27.16,-26.66667,1365.5,1394.0419689076539,978684.48,41.25897697242908,-114.27669818205032
27.16667,-26.26334,1488.9,1515.7919489997203,978589.51,12.900566012132913,-156.19329675998873
27.16833,-26.47,1450.8,1478.4047679062007,978637.09,34.0994399379706,-130.62802982483768
27.19,-26.29167,1510.0,1536.9561101018257,978596.21,24.09851134044584,-146.1530769128183
27.2,-26.75,1436.2,1465.1453370040904,978688.18,60.85197469149716,-101.4778053819469
27.21667,-26.41333,1485.3,1512.6663610926257,978619.8,31.458065625163727,-136.89861502218415
27.23666,-26.32832,1505.4,1532.4474060231157,978604.1,27.968456240952946,-142.06662066343893
27.24918,-26.8445,1460.0,1489.2807596131427,978704.52,77.77030711283442,-86.23904298431242
27.25667,-26.575,1411.2,1439.3395164307508,978660.99,38.37330316589214,-121.27931375596751
27.25751,-26.75583,1432.0,1461.0063852715275,978691.61,62.58204574906267,-99.44486115796545
27.27299,-26.89549,1327.0,1356.408875029383,978723.84,52.3893802606035,-90.41039398603766
27.27533,-26.94768,1440.0,1469.4946762121517,978701.76,61.390067316242494,-98.50849862497594
27.28333,-26.24167,1548.1,1574.851904403121,978569.91,13.070959311327897,-161.19823424866226
